ID;Please select your age range.;Please select your gender.;What type of secondary school did you attend?;What is your average matric result?;Please select what type of student are you at Eduvos;Which faculty are you in at Eduvos?;What is your current grade average? (The current average of the program you are enrolled in).;How many hours do you study every week on average?;Do you have access to the following? Please select all that applies to you .);Has online learning had an impact on your ability to study?
979;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
980;17-20 years;Female;State/Public;80-89%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
981;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
982;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
983;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
984;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"A location or place where you may study;";Yes
985;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
986;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
987;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";No
988;17-20 years;Female;Public with ieb curriculum ;60-69%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
989;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
990;21-23 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
991;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
992;;;;;;;;;;
993;17-20 years;Female;Private;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
994;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
995;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
996;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
997;17-20 years;Female;Private;70-79%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
998;21-23 years;Female;Private;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
999;21-23 years;Male;State/Public;70-79%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1000;21-23 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1001;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1002;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1003;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1004;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";No
1005;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
1006;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1007;21-23 years;Female;Private;60-69%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1008;21-23 years;Male;State/Public;50-59%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1009;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1010;17-20 years;Male;State/Public;50-59%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1011;17-20 years;Male;State/Public;40-49%;Part-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1012;17-20 years;Female;Private;70-79%;Full-time student;Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1013;21-23 years;Male;Private;70-79%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1014;17-20 years;Male;State/Public;50-59%;Part-time student;Information Technology;Below 40%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";Yes
1015;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1016;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
